Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2dxjKgT0li4qBI3QwuN9Ih,"Touch The Sky","Late Registration","Kanye West,Lupe Fiasco",2005-08-30,236600,76,true,,2025-07-11T03:20:39Z,"rap","Roc-A-Fella",0.552,0.846,9,-4.912,1,0.342,0.0114,0,0.309,0.554,98.56,1
spotify:track:4CmD7uKLtMBXTSXr0Q7z7b,"Golden Hour","Golden Hour","ddp,Ruck P",2024-03-29,180254,36,false,,2025-07-10T12:57:43Z,"lo-fi house,lo-fi beats,ritmos de jazz,hip hop lo-fi,lo-fi","white rabbit collective",0.87,0.428,9,-11.933,0,0.0889,0.744,0.93,0.111,0.653,118.014,4
spotify:track:5DHRFVLTJhQzNzp4whagtn,"Vintage Limo","Vintage Limo","Roc Marciano",2025-01-24,262938,30,false,,2025-07-05T17:42:25Z,"boom bap,hip hop underground,hip hop de la costa este","Art That Kills",0.472,0.551,10,-8.332,0,0.154,0.205,0.00941,0.0992,0.519,81.268,4
spotify:track:5TuTHrKzN6NweeQaKkBNb7,"Relax","Vibes","Vacations",2016,158573,71,false,,2025-07-03T07:10:39Z,"","Nettwerk Music Group",0.471,0.881,11,-4.483,0,0.0467,0.0588,0.000378,0.26,0.544,169.898,4
spotify:track:5GdQ7qBH5CWHkywoOrH0QQ,"After Dark x Sweater Weather","After Dark x Sweater Weather","mikeeysmind",2023-06-01,288403,73,false,,2025-07-03T07:10:06Z,"","UR",0.494,0.649,8,-9.692,1,0.0648,0.0428,0.0122,0.107,0.0397,140.011,4
spotify:track:42FQ6SWMnzb6QAVEuTBTiO,"Resonance x Genesis x Not allowed - Slowed","Resonance x Genesis x Not allowed","mikeeysmind",2023-05-30,293407,63,false,,2025-07-03T07:09:20Z,"","mikeeysmind",0.488,0.524,8,-13.552,1,0.0426,0.278,0.945,0.128,0.192,129.19,3
spotify:track:0wEeW8Bwr0fHXuS2zLiDXk,"Duvet - Sped Up Version","Duvet","bôa",2023-03-17,182792,67,false,,2025-07-03T07:09:11Z,"","Nettwerk Music Group",0.59,0.839,1,-9.14,0,0.0274,0.274,0.0038,0.105,0.651,104.605,4
spotify:track:4K9fCsfAZmLogvDKKIRgCa,"Tek It","Tek It (I Watch the Moon)","Cafuné",2019,191823,74,false,,2025-07-03T04:09:14Z,"","Elektra (NEK)",0.423,0.913,8,-5.354,1,0.0655,0.0000653,0,0.269,0.596,146.995,4
spotify:track:7klPHv3HnXdUY3dSfTccNc,"Time","Free Nationals","Free Nationals,Mac Miller,Kali Uchis",2019-12-13,210385,68,true,,2025-06-30T04:15:27Z,"","OBE, LLC / EMPIRE",0.469,0.771,5,-7.071,1,0.338,0.518,0.000197,0.0789,0.298,88.968,4
spotify:track:0IY5lHDP46LTWfEwu66TZd,"Que Beleza","World Psychedelic Classics 4: Nobody Can Live Forever: The Existential Soul of Tim Maia","Tim Maia",2012-10-02,208573,45,false,,2025-06-24T15:33:01Z,"mpb","LUAKA BOP",0.512,0.539,5,-7.537,0,0.0402,0.35,0.354,0.0763,0.919,159.811,4
spotify:track:56DuOpkTj3yXwnlINAqP5l,"Body Heat","Analog Love","Dabeull,HolyBrune",2024-04-12,201186,53,false,,2025-06-18T22:34:54Z,"nu disco","Roche Musique",0.769,0.756,8,-5.397,1,0.0321,0.0881,0.0025,0.0417,0.476,117.47,4
spotify:track:6O9dLUnm1cJGL6aTcilNf8,"Is It Loud Enough","Is It Loud Enough","Tom Fills",2024-06-28,193437,53,false,,2025-06-18T22:31:01Z,"","Feedasoul Records",0.756,0.583,7,-8.141,1,0.0454,0.00197,0.277,0.119,0.752,117.996,4
spotify:track:0dpusM1gM6ULx0QvjJctbT,"Pictures of You","Hiding in Plain Sight","Drugdealer,Kate Bollinger",2022-10-28,189466,73,false,,2025-06-13T03:48:30Z,"","Mexican Summer",0.927,0.31,6,-14.604,0,0.0661,0.507,0.705,0.104,0.783,114.513,4
spotify:track:7AvuIMRKdo5RvS6YIzXjsj,"Tell Me Why","On The Inside","Gotts Street Park,Olive Jones",2023-10-13,231560,75,false,,2025-06-13T03:41:43Z,"","Blue Flowers Music",0.758,0.266,11,-10.829,1,0.0443,0.574,0.246,0.107,0.359,129.342,4
spotify:track:2vlkTkPqdATznKHu9gD2c1,"Her","Her","The American Dawn",2024-07-26,214086,79,false,,2025-06-11T16:23:14Z,"","DAWN RECORDS",0.66,0.603,3,-7.7,0,0.025,0.00566,0.0144,0.0751,0.527,102.99,4
spotify:track:4z9KVNX4hmk672SJfhtQNz,"F Song","F Song","Strawberry Guy",2018-08-09,224655,70,false,,2025-06-10T19:02:14Z,"bedroom pop","Strawberry Guy",0.236,0.511,0,-10.788,0,0.0442,0.407,0.281,0.346,0.227,80.973,4
spotify:track:4R69TC9lYAg34yZPGtnRd3,"Apéritif","Apéritif","dennisivnvc,DYVN",2025-01-23,86500,44,false,,2025-06-08T18:49:25Z,"lo-fi,lo-fi beats,ritmos de jazz","Fortune Cookie Records",0.739,0.542,0,-6.704,1,0.118,0.1,0.00369,0.145,0.902,79.134,4
